index,time,0,distance,posX,posY
0,2023-07-14 15:24:23.641000+02:00,-54,0.5,0.5,0.0
1,2023-07-14 15:24:24.643000+02:00,-56,0.5,0.5,0.0
2,2023-07-14 15:24:25.645000+02:00,-59,0.5,0.5,0.0
3,2023-07-14 15:24:26.646000+02:00,-51,0.5,0.5,0.0
4,2023-07-14 15:24:27.648000+02:00,-53,0.5,0.5,0.0
5,2023-07-14 15:24:28.650000+02:00,-53,0.5,0.5,0.0
6,2023-07-14 15:24:29.651000+02:00,-53,0.5,0.5,0.0
7,2023-07-14 15:24:30.655000+02:00,-49,0.5,0.5,0.0
8,2023-07-14 15:24:32.660000+02:00,-53,0.5,0.5,0.0
9,2023-07-14 15:24:33.662000+02:00,-50,0.5,0.5,0.0
10,2023-07-14 15:24:34.664000+02:00,-60,0.5,0.5,0.0
11,2023-07-14 15:24:35.666000+02:00,-63,0.5,0.5,0.0
12,2023-07-14 15:24:36.669000+02:00,-64,0.5,0.5,0.0
13,2023-07-14 15:24:37.670000+02:00,-57,0.5,0.5,0.0
14,2023-07-14 15:24:38.674000+02:00,-55,0.5,0.5,0.0
15,2023-07-14 15:24:39.675000+02:00,-48,0.5,0.5,0.0
16,2023-07-14 15:24:40.677000+02:00,-62,0.5,0.5,0.0
17,2023-07-14 15:24:41.679000+02:00,-57,0.5,0.5,0.0
18,2023-07-14 15:24:42.681000+02:00,-49,0.5,0.5,0.0
19,2023-07-14 15:24:43.685000+02:00,-55,0.5,0.5,0.0
20,2023-07-14 15:24:45.689000+02:00,-50,0.5,0.5,0.0
21,2023-07-14 15:24:46.690000+02:00,-56,0.5,0.5,0.0
22,2023-07-14 15:24:47.692000+02:00,-47,0.5,0.5,0.0
23,2023-07-14 15:24:50.699000+02:00,-48,0.5,0.5,0.0
24,2023-07-14 15:24:51.701000+02:00,-56,0.5,0.5,0.0
25,2023-07-14 15:24:53.708000+02:00,-54,1.0,1.0,0.0
26,2023-07-14 15:24:54.709000+02:00,-61,1.0,1.0,0.0
27,2023-07-14 15:24:55.713000+02:00,-65,1.0,1.0,0.0
28,2023-07-14 15:24:56.714000+02:00,-55,1.0,1.0,0.0
29,2023-07-14 15:24:58.720000+02:00,-61,1.0,1.0,0.0
30,2023-07-14 15:24:59.722000+02:00,-61,1.0,1.0,0.0
31,2023-07-14 15:25:00.723000+02:00,-62,1.0,1.0,0.0
32,2023-07-14 15:25:02.726000+02:00,-62,1.0,1.0,0.0
33,2023-07-14 15:25:03.729000+02:00,-68,1.0,1.0,0.0
34,2023-07-14 15:25:07.739000+02:00,-58,1.0,1.0,0.0
35,2023-07-14 15:25:08.740000+02:00,-65,1.0,1.0,0.0
36,2023-07-14 15:25:10.745000+02:00,-60,1.0,1.0,0.0
37,2023-07-14 15:25:11.747000+02:00,-62,1.0,1.0,0.0
38,2023-07-14 15:25:12.752000+02:00,-59,1.0,1.0,0.0
39,2023-07-14 15:25:13.754000+02:00,-61,1.0,1.0,0.0
40,2023-07-14 15:25:14.755000+02:00,-58,1.0,1.0,0.0
41,2023-07-14 15:25:16.760000+02:00,-70,1.0,1.0,0.0
42,2023-07-14 15:25:18.763000+02:00,-59,1.0,1.0,0.0
43,2023-07-14 15:25:19.766000+02:00,-54,1.0,1.0,0.0
44,2023-07-14 15:25:20.767000+02:00,-60,1.0,1.0,0.0
45,2023-07-14 15:25:22.773000+02:00,-66,1.0,1.0,0.0
46,2023-07-14 15:25:23.775000+02:00,-68,1.5,1.5,0.0
47,2023-07-14 15:25:24.778000+02:00,-57,1.5,1.5,0.0
48,2023-07-14 15:25:25.780000+02:00,-62,1.5,1.5,0.0
49,2023-07-14 15:25:27.784000+02:00,-58,1.5,1.5,0.0
50,2023-07-14 15:25:29.790000+02:00,-62,1.5,1.5,0.0
51,2023-07-14 15:25:30.791000+02:00,-55,1.5,1.5,0.0
52,2023-07-14 15:25:31.794000+02:00,-68,1.5,1.5,0.0
53,2023-07-14 15:25:32.795000+02:00,-65,1.5,1.5,0.0
54,2023-07-14 15:25:33.798000+02:00,-70,1.5,1.5,0.0
55,2023-07-14 15:25:34.800000+02:00,-65,1.5,1.5,0.0
56,2023-07-14 15:25:36.805000+02:00,-61,1.5,1.5,0.0
57,2023-07-14 15:25:37.806000+02:00,-67,1.5,1.5,0.0
58,2023-07-14 15:25:38.808000+02:00,-69,1.5,1.5,0.0
59,2023-07-14 15:25:39.810000+02:00,-64,1.5,1.5,0.0
60,2023-07-14 15:25:41.814000+02:00,-60,1.5,1.5,0.0
61,2023-07-14 15:25:42.816000+02:00,-63,1.5,1.5,0.0
62,2023-07-14 15:25:44.820000+02:00,-64,1.5,1.5,0.0
63,2023-07-14 15:25:45.822000+02:00,-56,1.5,1.5,0.0
64,2023-07-14 15:25:47.826000+02:00,-67,1.5,1.5,0.0
65,2023-07-14 15:25:48.828000+02:00,-57,1.5,1.5,0.0
66,2023-07-14 15:25:49.830000+02:00,-66,1.5,1.5,0.0
67,2023-07-14 15:25:50.832000+02:00,-70,1.5,1.5,0.0
68,2023-07-14 15:25:51.835000+02:00,-69,1.5,1.5,0.0
69,2023-07-14 15:25:52.837000+02:00,-56,1.5,1.5,0.0
70,2023-07-14 15:25:53.838000+02:00,-62,2.0,2.0,0.0
71,2023-07-14 15:25:54.840000+02:00,-62,2.0,2.0,0.0
72,2023-07-14 15:25:55.843000+02:00,-54,2.0,2.0,0.0
73,2023-07-14 15:25:56.845000+02:00,-72,2.0,2.0,0.0
74,2023-07-14 15:25:58.849000+02:00,-65,2.0,2.0,0.0
75,2023-07-14 15:25:59.853000+02:00,-64,2.0,2.0,0.0
76,2023-07-14 15:26:00.854000+02:00,-63,2.0,2.0,0.0
77,2023-07-14 15:26:01.857000+02:00,-68,2.0,2.0,0.0
78,2023-07-14 15:26:02.859000+02:00,-65,2.0,2.0,0.0
